"name","playcount"
"Thursday","268"
"Better Oblivion Community Center","211"
"Aphex Twin","208"
"(Sandy) Alex G","196"
"Why?","191"
"The Japanese House","184"
"Death Cab for Cutie","177"
"Taylor Swift","175"
"Lala Lala","166"
"Taking Back Sunday","157"
"Carly Rae Jepsen","138"
"Tierra Whack","137"
"of Montreal","130"
"girl in red","128"
"Yo La Tengo","118"
"Four Tet","116"
"Archy Marshall","113"
"The Appleseed Cast","113"
"Cursive","107"
"Radiohead","103"
"Tortoise","102"
"Granular","94"
"Tim Hecker","94"
"Fennesz","92"
"Animal Collective","91"
"King Krule","91"
"Stephen Malkmus","89"
"Mount Kimbie","84"
"Belle and Sebastian","73"
"Stephen Malkmus and the Jicks","72"
"Covet","70"
"LCD Soundsystem","70"
"Elliott Smith","69"
"Grimes","69"
"M83","69"
"CHVRCHES","66"
"Weezer","66"
"Cornelius","64"
"beabadoobee","63"
"Asobi Seksu","60"
"Vagabon","60"
"My Bloody Valentine","58"
"Phoebe Bridgers","58"
"Let's Eat Grandma","57"
"Björk","56"
"Brian Eno","56"
"Yellow Magic Orchestra","56"
"Bloc Party","55"
"Elvis Costello & The Attractions","54"
"Courtney Barnett","53"
"Grouper","53"
"Arthur Russell","52"
"Battles","51"
"Gang Gang Dance","51"
"Interpol","50"
"FaltyDL","49"
"Oneohtrix Point Never","49"
"Sufjan Stevens","49"
"American Football","48"
"Broadcast","48"
"Desaparecidos","47"
"Snail Mail","47"
"The Sea and Cake","47"
"Minus the Bear","45"
"Mitski","45"
"Pavement","45"
"Flipper's Guitar","44"
"Jimmy Eat World","44"
"Lady Lamb","44"
"mewithoutYou","42"
"Big Thief","41"
"Julia Jacklin","41"
"Rage Against the Machine","41"
"Beach House","40"
"細野晴臣","40"
"Disclosure","39"
"The High Llamas","39"
"Stereolab","38"
"SZA","38"
"The Flaming Lips","38"
"FKA twigs","37"
"Japanther","37"
"Rihanna","37"
"Coldplay","36"
"Dntel","36"
"James Blake","36"
"Yoni & Geti","36"
"Hans Zimmer","35"
"Lizzo","35"
"Shintaro Sakamoto","35"
"Co La","34"
"Grizzly Bear","32"
"Kanye West","32"
"thestand4rd","32"
"Steve Hauschildt","31"
"Twin Shadow","31"
"Green Day","30"
"Modest Mouse","29"
"Palm","29"
"Panda Bear","29"
"Post Malone","29"
"The Field","29"
"Neutral Milk Hotel","28"
"The Beach Boys","28"
"Broken Social Scene","27"
"Built to Spill","27"
"Charli XCX","27"
"The Postal Service","27"
"The Strokes","27"
"Todd Terje","27"
"Caribou","26"
"Heathered Pearls","26"
"Lapalux","26"
"Mac DeMarco","26"
"New Order","26"
"Sean O'Hagan","26"
"Jon Hopkins","25"
"OZMA","25"
"The Get Up Kids","25"
"The Shins","25"
"Blood Orange","24"
"Drake","24"
"Ed Harcourt","24"
"Jai Paul","24"
"Philip Glass","24"
"Rustie","24"
"Surfer Blood","24"
"The Beatles","24"
"Ariel Pink","23"
"Bicep","23"
"blink-182","23"
"Jakob Ogawa","23"
"Jenny Lewis","23"
"Cocteau Twins","22"
"Hop Along","22"
"M.I.A.","22"
"Phoenix","21"
"Toro y Moi","21"
"Bleachers","20"
"Charly Bliss","20"
