"name","playcount"
"The xx","166"
"Four Tet","157"
"Taking Back Sunday","124"
"Drake","118"
"Beach House","101"
"SZA","100"
"Steve Hauschildt","88"
"Chihei Hatakeyama","83"
"Beyoncé","81"
"Courtney Barnett","81"
"Shintaro Sakamoto","81"
"Grouper","79"
"Brian Eno","75"
"Ed Harcourt","71"
"Asobi Seksu","70"
"Francisco Tárrega","70"
"Sufjan Stevens","70"
"Aphex Twin","68"
"Mitski","67"
"M.I.A.","66"
"Hayley Kiyoko","60"
"Javelin","60"
"Palm","60"
"Little Dragon","59"
"Queen","59"
"Todd Terje","59"
"Blood Orange","58"
"Granular","53"
"of Montreal","53"
"Radiohead","51"
"Rage Against the Machine","49"
"Robyn","49"
"Tom Rogerson","49"
"Cursive","47"
"Elvis Costello & The Attractions","44"
"Cardi B","41"
"Thursday","41"
"Tim Hecker","41"
"Weezer","41"
"Carly Rae Jepsen","40"
"Drexciya","40"
"Kanye West","38"
"Sophie","37"
"The Japanese House","37"
"The Replacements","37"
"Grizzly Bear","36"
"Kishi Bashi","36"
"The Smiths","36"
"Hot Chip","35"
"Battles","34"
"Neon Indian","34"
"Stephen Malkmus and the Jicks","34"
"Van Halen","34"
"Yo La Tengo","34"
"CHVRCHES","33"
"The High Llamas","32"
"Twin Shadow","32"
"Animal Collective","31"
"Black Marble","31"
"Gang Gang Dance","31"
"James Blake","31"
"The Flaming Lips","31"
"Why?","31"
"Boards of Canada","30"
"Morrissey","30"
"Phantogram","30"
"Pink Floyd","30"
"Stereolab","30"
"Bob Dylan","29"
"John Cale","29"
"Rustie","29"
"At the Drive-In","27"
"De Lux","27"
"Frank Ocean","27"
"Washed Out","27"
"Let's Eat Grandma","26"
"Gnarls Barkley","25"
"Oneohtrix Point Never","25"
"Charly Bliss","24"
"Future Islands","24"
"Jeff Tweedy","24"
"Air","23"
"Broadcast","23"
"Elliott Smith","23"
"Heathered Pearls","23"
"The Sea and Cake","23"
"Daft Punk","22"
"Jimmy Eat World","22"
"The Postal Service","21"
"Andrew Bird","19"
"Ariel Pink","19"
"Brand New","19"
"Cashmere Cat","19"
"thestand4rd","19"
"Black Star","18"
"Frankie Cosmos","18"
"Jamie xx","18"
"The Tough Alliance","18"
"Volcano Choir","18"
"Cigarettes After Sex","17"
