"name","playcount"
"M.I.A.","43"
"Aaliyah","34"
"Toro y Moi","26"
"The Isley Brothers","23"
"Mac DeMarco","22"
"Ratatat","21"
"The Shins","21"
"SWV","15"
"Mariah Carey","14"
"Neil Young","14"
"Com Truise","13"
"Arthur Russell","12"
"Mirah","12"
"Run–D.M.C.","12"
"Simon & Garfunkel","12"
"Co La","11"
"Four Tet","11"
"Miles Davis","11"
"Sufjan Stevens","11"
"Wolf Parade","11"
"Amy Winehouse","10"
"J. Cole","10"
"Sam Smith","10"
"The Smashing Pumpkins","10"
"XXYYXX","10"
"Stereolab","9"
"Elton John","8"
"Elvis Costello & The Attractions","8"
"Frank Ocean","8"
"Todd Terje","8"
"Candy Claws","7"
"Drake","7"
"Kanye West","7"
"Kyle Dixon","7"
"Minus the Bear","7"
"Xiu Xiu","7"
"Brian Eno","6"
"Can","6"
"Cursive","6"
"David Bowie","6"
"Hot Chip","6"
"Jeremih","6"
"Major Lazer","6"
"Pretty Lights","6"
"The Range of Light Wilderness","6"
"Washed Out","6"
"Blur","5"
"Nas","5"
"New Order","5"
"Pavement","5"
"Why?","5"
"Blood Orange","4"
"Queen","4"
"Robin Guthrie","4"
"Santigold","4"
"Steve Aoki","4"
"The Delgados","4"
"Bleachers","3"
"Dean Blunt","3"
"Mitski","3"
"of Montreal","3"
"OutKast","3"
"Robin Schulz","3"
"Sia","3"
"Twin Shadow","3"
"A Tribe Called Quest","2"
"Ariel Pink's Haunted Graffiti","2"
"Axel Boman","2"
"Battles","2"
"Bloc Party","2"
"Bobby Caldwell","2"
"Holy Ghost!","2"
"Isaac Hayes","2"
"James Brown","2"
"Kool & The Gang","2"
"Lana Del Rey","2"
"Made of Oak","2"
"Miike Snow","2"
"My Chemical Romance","2"
"Portishead","2"
"Public Enemy","2"
"Q and Not U","2"
"Quincy Jones","2"
"Ramp","2"
"Rick James","2"
"Siouxsie and the Banshees","2"
"T-Pain","2"
"The Doobie Brothers","2"
"The Magnetic Fields","2"
"The Polyphonic Spree","2"
"The Smiths","2"
"The Weeknd","2"
"Timmy Thomas","2"
"U.S. Girls","2"
"Unknown Mortal Orchestra","2"
"Usher","2"
"Zedd","2"
"Abra","1"
"Afrika Bambaataa","1"
"Alanis Morissette","1"
"All Saints","1"
"AlunaGeorge","1"
"Angel Olsen","1"
"Animal Collective","1"
"Beastie Boys","1"
"Bernie Worrell","1"
"BJ The Chicago Kid","1"
"blink-182","1"
"Blouse","1"
"Bob Dylan","1"
"Bobby ""Blue"" Bland","1"
"Bosnian Rainbows","1"
"Boys Noize","1"
"Brendan Benson","1"
"Busdriver","1"
"Cannibal Ox","1"
"Cat Power","1"
"Chromatics","1"
"Clan of Xymox","1"
"Cocteau Twins","1"
"Connan Mockasin","1"
"Cotton Jones","1"
"Creedence Clearwater Revival","1"
"Danny Brown","1"
"David Lang","1"
"Dillon Francis","1"
"Disclosure","1"
"DJ Snake","1"
"Donnie & Joe Emerson","1"
"Dungen","1"
"Einstürzende Neubauten","1"
"El Michels Affair","1"
"Evan Ziporyn","1"
"FaltyDL","1"
"Fela Kuti","1"
"Fern Kinney","1"
"FKA twigs","1"
"Flying Lotus","1"
"Future Islands","1"
"Gang of Four","1"
"Gil Scott-Heron","1"
"Giorgio Moroder","1"
"Harlem River Drive","1"
"Iberia","1"
"INXS","1"
"Ji Nilsson","1"
"Jim-E Stack","1"
"Jimi Hendrix","1"
"Kendrick Lamar","1"
"Kishi Bashi","1"
"KMD","1"
"Le Tigre","1"
"Leon Haywood","1"
"Lo Mimieux","1"
"Lower Dens","1"
"Machinedrum","1"
"Michael Gordon","1"
"Mighty Ryeders","1"
"Milo","1"
"Minnie Riperton","1"
"Morrissey","1"
"Movement","1"
"Mura Masa","1"
"Naked Eyes","1"
"Ought","1"
"P.M. Dawn","1"
"Panda Bear","1"
"Patsy Cline","1"
"Patti Smith","1"
"Paul McCartney","1"
"Piotr Miteska","1"
"Pure X","1"
"Q Lazzarus","1"
"Richard in Your Mind","1"
"Ronnie Foster","1"
"Röyksopp","1"
"S U R F I N G","1"
"Sam Cooke","1"
"Scott Walker","1"
"Sheryl Crow","1"
"Sparks","1"
"Spoon","1"
"Susso","1"
"Swet Shop Boys","1"
"Sylvester","1"
"Tennis","1"
"Terry Riley","1"
"The Breathing Effect","1"
"The Charmels","1"
"The Decemberists","1"
"The Field","1"
"The Legendary Pink Dots","1"
"The Midnight Eez","1"
"The Space Lady","1"
"They Might Be Giants","1"
"Totally Enormous Extinct Dinosaurs","1"
"Tove Lo","1"
"Uffie","1"
"Vince Staples","1"
"Virna Lindt","1"
"Wilco","1"
"Young Marco","1"
