"name","playcount"
"Dungen","243"
"Khruangbin","226"
"Elliott Smith","209"
"Tame Impala","177"
"Taylor Swift","153"
"Alex G","150"
"Sufjan Stevens","145"
"Neil Young","141"
"Arlo Parks","123"
"Connan Mockasin","122"
"Spirit of the Beehive","122"
"Unknown Mortal Orchestra","116"
"Perfume Genius","110"
"girl in red","102"
"The Flaming Lips","95"
"Cocteau Twins","92"
"Lucy Dacus","91"
"Phoebe Bridgers","87"
"Blood Orange","81"
"Paramore","79"
"Death Cab for Cutie","77"
"Fennesz","76"
"Mac DeMarco","72"
"Tim Hecker","71"
"Modest Mouse","69"
"Yo La Tengo","69"
"Drugdealer","67"
"Four Tet","61"
"Origami Angel","60"
"The Zombies","60"
"Bibio","59"
"Liam Kazar","58"
"DIIV","57"
"Floating Points","53"
"Julien Baker","52"
"Aris Kindt","51"
"Snarls","51"
"Animal Collective","50"
"Runners Club 95","50"
"Dan Romer","49"
"Third Eye Blind","47"
"Ana Roxanne","46"
"Led Zeppelin","46"
"King Krule","45"
"New Order","44"
"Ariel Pink","43"
"Hiroshi Yoshimura","43"
"Pavement","41"
"Thursday","41"
"Ben Lukas Boysen","40"
"Beulah","40"
"Carly Rae Jepsen","40"
"CHVRCHES","40"
"Deerhoof","39"
"Dehd","39"
"Elvis Costello & The Attractions","39"
"Fenne Lily","39"
"Oneohtrix Point Never","39"
"Brian Eno","38"
"Green Day","38"
"Pixies","38"
"The Antlers","38"
"Arthur Russell","37"
"Taking Back Sunday","37"
"The Raveonettes","36"
"細野晴臣","35"
"Aphex Twin","34"
"Bob Dylan","34"
"Granular","33"
"Miles Davis","33"
"Roger Eno","33"
"The Beths","33"
"Black Sabbath","32"
"Department of Eagles","32"
"Lorde","32"
"Stephen Malkmus and the Jicks","32"
"Cursive","31"
"Faye Webster","31"
"Harold Budd","31"
"Mdou Moctar","31"
"The Impossibles","31"
"The Smiths","31"
"Father John Misty","29"
"Hannah Cohen","29"
"Jon Brion","29"
"Mark McGuire","29"
"Metro Riders","29"
"My Bloody Valentine","29"
"BADBADNOTGOOD","28"
"Kanye West","28"
"Leandro Fresco","28"
"Loscil","28"
"that dog.","28"
"The Beatles","28"
"Zammuto","28"
"Fleet Foxes","27"
"Heatmiser","27"
"Javelin","27"
"Neko Case","27"
"Post Animal","27"
"The Doobie Brothers","27"
"Daft Punk","26"
"Florence + the Machine","26"
"Gang Gang Dance","26"
"Katy Perry","26"
"Toro y Moi","26"
"Max Richter","25"
"Myrna","25"
"Queen","25"
"Surfer Blood","25"
"Dirty Projectors","24"
"Doja Cat","24"
"Grizzly Bear","24"
"Post Malone","24"
"Radiohead","24"
"RADWIMPS","24"
"The Weeknd","24"
"Washed Out","24"
"坂本龍一","24"
"Archy Marshall","23"
"Interpol","23"
"Martha Reeves & The Vandellas","23"
"The Who","23"
"Live","22"
"Spoon","22"
"Stephen Malkmus","22"
"Ty Segall","22"
"Feist","21"
"Fred again..","21"
"M.I.A.","21"
"Steve Hauschildt","21"
"The Bouncing Souls","21"
"Big Star","20"
"Black Moth Super Rainbow","20"
"Curtis Mayfield","20"
"Dawn Richard","20"
"Mount Kimbie","20"
"Pronoun","20"
"The Tornados","20"
"Why?","20"
"Wilco","20"
"Caribou","19"
"Courtney Barnett","19"
"Gang of Four","19"
"James Blake","19"
"Jenny Lewis","19"
"Moontype","19"
"Say Anything","19"
"The Band","19"
"The Mighty Mighty Bosstones","19"
"Bikeride","18"
"Fiona Apple","18"
"Girl Talk","18"
"Light Asylum","18"
"The 1975","18"
"Better Oblivion Community Center","17"
"David Byrne","17"
"LCD Soundsystem","17"
"Nick Drake","17"
"Pink Floyd","17"
"Sheer Mag","17"
"Stereolab","17"
"Alan Lomax","16"
"Dr. Dog","16"
"Goat","16"
"John Cale","16"
"Justice","16"
"Ramones","16"
"The Chicks","16"
"The Field","16"
"Tiësto","16"
"Twin Shadow","16"
"A Tribe Called Quest","15"
"Asobi Seksu","15"
"blink-182","15"
"Cornelius","15"
"Foxygen","15"
"Frank Ocean","15"
"Mitski","15"
"Nico","15"
"Rage Against the Machine","15"
"SZA","15"
"The Shins","15"
"U2","15"
"Atlas Sound","14"
"HAIM","14"
"Kendrick Lamar","14"
"NRBQ","14"
"Phantogram","14"
"The Books","14"
"The Go! Team","14"
"The Weather Station","14"
"Thee Oh Sees","14"
"American Football","13"
"Bloc Party","13"
"Disclosure","13"
"Elton John","13"
"FLIGHT MODE","13"
"Huerco S.","13"
"J Dilla","13"
"Jimmy Eat World","13"
"Matt Sweeney","13"
"of Montreal","13"
"Panda Bear","13"
"T2","13"
"The Appleseed Cast","13"
"The Replacements","13"
"Toquinho","13"
"TV on the Radio","13"
"Yaeji","13"
"Bebel Gilberto","12"
"Built to Spill","12"
"Classixx","12"
"Dntel","12"
"IDLES","12"
"Jefferson Airplane","12"
