"name","playcount"
"Taking Back Sunday","290"
"Steve Hauschildt","237"
"SZA","231"
"Carly Rae Jepsen","208"
"Granular","208"
"The Japanese House","160"
"Jimmy Eat World","132"
"Thursday","102"
"Animal Collective","92"
"Why?","74"
"Brand New","72"
"Kyle Dixon","68"
"King Krule","67"
"Cashmere Cat","66"
"Cigarettes After Sex","66"
"Post Malone","65"
"Wilco","63"
"Drake","61"
"Mitski","61"
"The Get Up Kids","60"
"At the Drive-In","58"
"Desaparecidos","56"
"Cursive","54"
"Brian Eno","53"
"of Montreal","50"
"Beach House","48"
"Future Islands","48"
"Björk","46"
"blink-182","46"
"Courtney Barnett","46"
"Frank Ocean","46"
"Kanye West","40"
"Rage Against the Machine","40"
"Deerhunter","39"
"Kendrick Lamar","38"
"Superbody","38"
"Bleachers","36"
"Georgia","36"
"Yoni & Geti","34"
"Lorde","33"
"The Postal Service","32"
"Protomartyr","31"
"Arthur Russell","30"
"Death Cab for Cutie","30"
"The Dismemberment Plan","30"
"Sophie","29"
"Sufjan Stevens","29"
"thestand4rd","29"
"Vagabon","29"
"Built to Spill","28"
"Elliott","28"
"Grouper","28"
"Nina Simone","28"
"Peter Bjorn and John","28"
"Billy Joel","27"
"FaltyDL","27"
"M.I.A.","27"
"Julianna Barwick","26"
"Neon Indian","26"
"Pavement","26"
"Grizzly Bear","25"
"Sun Ra","25"
"The Weeknd","25"
"Co La","24"
"LCD Soundsystem","24"
"My Bloody Valentine","24"
"Noname","24"
"Stephen Malkmus and the Jicks","24"
"Palm","23"
"Belle and Sebastian","22"
"David Bowie","22"
"Dntel","22"
"Spoon","22"
"The Field","22"
"Belinda Carlisle","21"
"Say Anything","21"
"Blood Orange","20"
"Charly Bliss","20"
"Childish Gambino","20"
"Dean Blunt and Inga Copeland","20"
"John Maus","20"
"My Chemical Romance","20"
"OutKast","20"
"The xx","20"
"Battles","19"
"CHVRCHES","19"
"Dirty Projectors","19"
"Todd Terje","19"
"Toro y Moi","19"
"Andrew Applepie","18"
"Eno - Moebius - Roedelius","18"
"Lykke Li","18"
"mewithoutYou","18"
"Miles Davis","18"
"The Books","18"
"UGK","18"
"Wolf Parade","18"
"XXYYXX","18"
"Grimes","17"
"Jeremih","17"
"Modest Mouse","17"
"Panda Bear","17"
