"name","playcount"
"Emeralds","6"
"Ford & Lopatin","6"
"Jan Jelinek","6"
"MellowHype","6"
"Mirrorring","6"
"Mount Kimbie","6"
"Pantha du Prince","6"
"Phon.o","6"
"Ripperton","6"
"Scorn","6"
"Telefon Tel Aviv","6"
"Titanic","6"
"TV on the Radio","6"
"William Aura","6"
"William Onyeabor","6"
"CHVRCHES","5"
"Coldplay","5"
"Death Cab for Cutie","5"
"Diplo","5"
"El-P","5"
"Everything Everything","5"
"Ghostape","5"
"Glenn Miller","5"
"Humans","5"
"Jeremih","5"
"Justin Timberlake","5"
"Kimya Dawson","5"
"Lorde","5"
"Lower Dens","5"
"Luke Abbott","5"
"Macklemore & Ryan Lewis","5"
"Memory Cassette","5"
"Morrissey","5"
"NRBQ","5"
"Patrice Bäumel","5"
"Plugs","5"
"Polvo","5"
"Ramadanman","5"
"Sam Smith","5"
"Taylor Deupree","5"
"The New Pornographers","5"
"The Postal Service","5"
"The Tough Alliance","5"
"Vincent Markowski","5"
"A Tribe Called Quest","4"
"Alice Coltrane","4"
"Ariel Pink","4"
"Bear in Heaven","4"
"Beave's Mix","4"
"Body Language","4"
"Calvin Harris","4"
"Can","4"
"Cat Power","4"
"d'Eon","4"
"Dan Deacon","4"
"Duke Ellington","4"
"Fiona Apple","4"
"Gang Colours","4"
"Godspeed You! Black Emperor","4"
"Harold Budd","4"
"John Coltrane Quartet","4"
"Kid Cudi","4"
"Lykke Li","4"
"Metronomy","4"
"Michna","4"
"Miles Davis","4"
"Nosaj Thing","4"
"Oliver Nelson","4"
"Raphael Saadiq","4"
"Rhye","4"
"Salem","4"
"Solid Gold","4"
"Spherix","4"
"Star Slinger","4"
"The New American Orchestra","4"
"The xx","4"
"Theophilus London","4"
"Thom Yorke","4"
"TNGHT","4"
"Toquinho","4"
"Touché Amoré","4"
"Yacht","4"
"Air France","3"
"Architeq","3"
"Artie Shaw","3"
"Atlas Sound","3"
"Austra","3"
"Bill Orcutt","3"
"Billy Bragg","3"
"Blue Hawaii","3"
"Bonobo","3"
"Booka Shade","3"
"Caribou","3"
"Carole King","3"
"Cass McCombs","3"
"Cex","3"
"Chairlift","3"
"Colouring In","3"
"Count Basie","3"
"Crystal Castles","3"
"Cut Copy","3"
"Diplo feat. Elephant Man & GTA","3"
"Diplo feat. Flinch & My Name Is Kay","3"
"Edan","3"
"Elliott Smith","3"
"Forro In The Dark","3"
"Fugazi","3"
"Gadi Mizrahi","3"
"Gang Gang Dance","3"
"Greg Paulus","3"
"Ike Quebec","3"
"Jóhann Jóhannsson","3"
"John Cale","3"
"John Coltrane","3"
"Joy Orbison","3"
"Lapalux","3"
"Mac DeMarco","3"
"Mimosa","3"
"Monster Rally","3"
"Mr. Little Jeans","3"
"Nas","3"
"New moon ost","3"
"Nightwaves","3"
"Nirvana","3"
"Oko","3"
"Party Supplies","3"
"Paul Simon","3"
"Peggy Lee","3"
"Pixies","3"
"Popol Vuh","3"
"Ray Charles","3"
"Roy Eldridge","3"
"Rye Rye","3"
"Shields","3"
"Sinkane","3"
"Skrillex","3"
"Stan Getz","3"
"T++","3"
"Tears for Fears","3"
"Telepathe","3"
"The Smashing Pumpkins","3"
"The Stone Roses","3"
"The Time And Space Machine","3"
"The Wrens","3"
"Ty Segall","3"
"Vinícius de Moraes","3"
"Warm Ghost","3"
"White Hinterland","3"
"Young Magic","3"
"Zee Avi","3"
"Air","2"
"Airhead","2"
"Bauhaus","2"
"Best Coast","2"
