"name","playcount"
"Brian Eno","293"
"Blood Orange","227"
"A Sunny Day in Glasgow","180"
"Heathered Pearls","123"
"Why?","111"
"Little Dragon","106"
"Lorde","103"
"DJ Koze","102"
"Tim Hecker","95"
"of Montreal","94"
"Toro y Moi","91"
"Javelin","88"
"FaltyDL","82"
"Disclosure","76"
"Ariel Pink's Haunted Graffiti","75"
"Sean Nicholas Savage","68"
"Evenings","67"
"The Field","66"
"CHVRCHES","60"
"Animal Collective","57"
"Bored Nothing","57"
"James Blake","53"
"John Talabot","53"
"Phèdre","53"
"Rustie","53"
"Glass Candy","52"
"Stephen Malkmus and the Jicks","51"
"oOoOO","50"
"Dean Blunt and Inga Copeland","49"
"Jenny Lewis","48"
"Gang Gang Dance","47"
"John Maus","46"
"Cat Power","44"
"Robin Guthrie","43"
"Giorgio Moroder","41"
"Beck","40"
"Bibio","40"
"Shlohmo","40"
"Burial","39"
"Destroyer","39"
"Daft Punk","38"
"King Krule","38"
"Teengirl Fantasy","38"
"Black Marble","37"
"Perfume Genius","37"
"Twin Shadow","37"
"Candy Claws","36"
"Major Lazer","36"
"Hot Chip","35"
"Caribou","34"
"CocoRosie","34"
"DIIV","34"
"Tensnake","34"
"Wilco","34"
"Beach House","33"
"David Bowie","33"
"Visionist","33"
"Delicate Steve","32"
"Arthur Russell","31"
"Sam Cooke","31"
"Gold Panda","30"
"Lust for Youth","30"
"Pole","30"
"Marvin Gaye","29"
"Stephen Malkmus","29"
"Björk","28"
"Lana Del Rey","28"
"Robin Guthrie & Harold Budd","28"
"The Clash","28"
"Clark","27"
"Frank Ocean","27"
"Neon Indian","27"
"Saâda Bonaire","27"
"Christopher Rau","26"
"Koreless","26"
"Lykke Li","26"
"New Order","26"
"Antônio Carlos Jobim","25"
"Main Attrakionz","25"
"The Weeknd","25"
"Grimes","24"
"Nathan Fake","24"
"Todd Terje","24"
"ASTR","22"
"Elliott Smith","22"
"Miguel","22"
"The Beach Boys","22"
"The Flaming Lips","22"
"Hans-Joachim Roedelius","21"
"Interpol","21"
"Kanye West","21"
"Laurel Halo","21"
"Radiohead","21"
"Drake","20"
"El-P","20"
"Lil' Wayne","20"
"Pavement","20"
"Solids","20"
"Tweedy","20"
"Van Morrison","20"
"Boards of Canada","18"
"Dwight Twilley Band","18"
"Mac DeMarco","18"
"Miles Davis","18"
"RJD2","18"
"Santigold","18"
"Aphex Twin","17"
"Balam Acab","17"
"Casino Versus Japan","17"
"Chairlift","17"
"Co La","17"
"Cocteau Twins","17"
"Fleetwood Mac","17"
"The Knife","17"
"XXYYXX","17"
"Akira Kosemura","16"
"Arca","16"
"Arcade Fire","16"
"Logos","16"
"Lukid","16"
"Prince","16"
"The Tough Alliance","16"
"Yo La Tengo","16"
"BANKS","15"
"Kisses","15"
"Poolside","15"
"Youth Lagoon","15"
"Belle and Sebastian","14"
"Cashmere Cat","14"
"FKA twigs","14"
"Gil Scott-Heron and Jamie xx","14"
"Grizzly Bear","14"
"Reigning Sound","14"
"Seams","14"
"Beat Connection","13"
"Charli XCX","13"
"Cults","13"
"Dntel","13"
"JAY-Z","13"
"M.I.A.","13"
"Matthew Dear","13"
"Mike Adams At His Honest Weight","13"
"Pixies","13"
"Plaid","13"
"Blouse","12"
"Courtney Barnett","12"
"Jam City","12"
"Jamie Woon","12"
"St. Vincent","12"
"The Band","12"
"Vampire Weekend","12"
"Autre Ne Veut","11"
"Broods","11"
"Dabrye","11"
"Darkside","11"
"Future Islands","11"
"HAIM","11"
"Junior Murvin","11"
"Majical Cloudz","11"
"Nicki Minaj","11"
"R. Stevie Moore","11"
"Tadoma","11"
"The Appleseed Cast","11"
"The Shins","11"
"Unknown Mortal Orchestra","11"
"Blue Hawaii","10"
"Bombay Bicycle Club","10"
"Girl Talk","10"
"High Places","10"
"Kindness","10"
"Mike Patton","10"
"Pure X","10"
"Chet Faker","9"
"Deerhoof","9"
"Explosions in the Sky","9"
"Kieran Hebden","9"
"Lapalux","9"
"Nu Shooz","9"
"Oneohtrix Point Never","9"
"Shintaro Sakamoto","9"
"The Cranberries","9"
"The Detroit Cobras","9"
"Weather Report","9"
"カジヒデキ","9"
"ADULT.","8"
"Beyoncé","8"
"Bon Iver","8"
"Cursive","8"
"Goldie","8"
"Nude Beach","8"
"Spoon","8"
"The Replacements","8"
"Volcano Choir","8"
"Broken Social Scene","7"
"Dirty Projectors","7"
"Grouper","7"
"Iasos","7"
"Jess Williamson","7"
"Panda Bear","7"
"Prefuse 73","7"
"The Sea and Cake","7"
"Visionist & Fatima al Qadiri","7"
"Warm Ghost","7"
"Whitney Houston","7"
"Blackstreet","6"
"Cake","6"
"Department of Eagles","6"
"Handsome Boy Modeling School","6"
"Harold Budd","6"
"Micachu","6"
"Phantogram","6"
"Roosevelt","6"
"Röyksopp","6"
"Tamaryn","6"
"The Drums","6"
"Voxtrot","6"
"Washed Out","6"
"alt-J","5"
"Chromatics","5"
"Clams Casino","5"
"DJ Koze vs. Hildegard Knef","5"
"How to Dress Well","5"
"Phoenix","5"
"Saint Pepsi","5"
"The Dodos","5"
"Wax Stag","5"
"Young Magic","5"
"Active Child","4"
"Architecture in Helsinki","4"
"Azealia Banks","4"
"Cannonball Adderley","4"
"College","4"
"DJ Rashad","4"
"Ducktails","4"
"Frank Zappa","4"
"Mase","4"
"Ramadanman","4"
"Rihanna","4"
"Sondre Lerche","4"
"Stan Getz","4"
"Talking Heads","4"
"Teengirl Fantasy feat. Romanthony","4"
"The Notorious B.I.G.","4"
"TRS-80","4"
"Apparat","3"
"Battles","3"
"Big Boi","3"
"Bok Bok","3"
"Daniel Johnston","3"
"Do'a - Randy Armstrong & Ken Laroche","3"
"Drexciya","3"
"Dru Hill","3"
"Ejecta","3"
"Gardens & Villa","3"
"James Newton Howard","3"
"Jethro Tull","3"
"Kavinsky","3"
"Keith Forsey","3"
"Laraaji","3"
"LCD Soundsystem","3"
"Lightspeed Champion","3"
"Lone","3"
"Muslimgauze","3"
"Nite Jewel","3"
"OutKast","3"
"Pawel","3"
"Pregnant","3"
"pronsato","3"
"Real Estate","3"
"SND","3"
"Solar Year","3"
"The Dead Texan","3"
"The Durutti Column","3"
"The Postal Service","3"
"Weezer","3"
"Wild Nothing","3"
"Zomby","3"
"Amon Tobin","2"
"Avey Tare","2"
"Basement Jaxx","2"
"Bob Dylan","2"
"Bonobo","2"
"Broadcast","2"
"Charlie Byrd","2"
"Closer Musik","2"
"Clu","2"
"Desire","2"
"Dr. Dre","2"
"Eno • Hyde","2"
"Four Tet","2"
"Gayngs","2"
"Gui Boratto","2"
"Hans Zimmer","2"
"Hiatus Kaiyote","2"
"Jai Paul","2"
"James Horner","2"
"Jessie Ware","2"
"João Gilberto","2"
"John Coltrane","2"
"Lullabies for Deep Meditation","2"
"M. Ward","2"
"M83","2"
"Machinedrum","2"
"Metronomy","2"
"Mount Kimbie","2"
"Nas","2"
"Oval","2"
"Peaches","2"
"Queen","2"
"Rachel Portman","2"
"Relaxing With Sounds of Nature and Spa Music Natural White Noise Sound Therapy","2"
"Rosy Cross","2"
"Shigeto","2"
"Simian Mobile Disco","2"
"Solvent","2"
"Stone Temple Pilots","2"
"Taking Back Sunday","2"
"Tears for Fears","2"
"The Avalanches","2"
"the derevolutions","2"
"The Echo-Friendly","2"
"The Kinks","2"
"The Smiths","2"
"Tickley Feather","2"
"69","1"
"Actress","1"
"Aeroporto","1"
"Air","1"
"Alex Zelenka","1"
"Alexandre Desplat","1"
"Alias","1"
"Anthony Gonzalez","1"
"Antony and the Johnsons","1"
"araabMUZIK","1"
"Ariel Pink","1"
"Bag Raiders","1"
"Balmorhea","1"
"bare pale","1"
"Barenaked Ladies","1"
"Beirut","1"
"Bellies!","1"
"Ben Frost","1"
"Best Coast","1"
"Blablarism","1"
"Black Kids","1"
"Black Uhuru","1"
"Bonnie Dobson","1"
"Born Ruffians","1"
"Brooklyn Buildings","1"
"Calming Music Academy","1"
"Calvin Harris","1"
"Chad Valley","1"
"Chalk Duo","1"
"Chill Out","1"
"Chromeo","1"
"Cibo Matto","1"
"Class Actress","1"
"Coldplay","1"
"Com Truise","1"
"cornelus","1"
"Cosmin TRG","1"
"Crystal Castles","1"
"Crystal Fighters","1"
"David Snell","1"
"David Sylvian","1"
"Dawn Golden","1"
"Deerhoof with of Montreal","1"
"Deuter","1"
"Devonte Hynes","1"
"Dillon Francis","1"
"Dinosaur Jr.","1"
"Diplo feat. Billy The Gent & Long Jawns","1"
"Don Caballero","1"
"Dorothy Ashby","1"
"Dreamtrak","1"
"Dusty Springfield","1"
"E-Z Rollers","1"
"E.G. Daily","1"
"Earl Sweatshirt","1"
"Echosmith","1"
"Egotrya","1"
"Electric Youth","1"
"Eluvium","1"
"Elvis Costello","1"
"Emerald Web","1"
"Fiona Apple","1"
"Flying Lotus","1"
"Gerardo Oliveira","1"
"Geto Boys","1"
"Ghostface Killah","1"
"Girl Unit","1"
"Glasser","1"
"Glowworm","1"
"Grandmaster Flash and The Furious Five","1"
"Gridlock","1"
"Groundislava","1"
"Gush","1"
"Hannah Diamond","1"
"Health","1"
"Helios","1"
"Henrik Schwarz","1"
"Holy Ghost!","1"
"Houses","1"
"Husbands","1"
"Hymie's Basement","1"
"Jacques Greene","1"
"Jagged Edge","1"
"James Brown","1"
"Jamie xx","1"
"Jens Lekman","1"
"Jeremih","1"
"Jerry Goldsmith","1"
"Jesse Johnson","1"
"Joe Pass","1"
"Joel Vandroogenbroeck","1"
"John Foxx","1"
"Joy Orbison","1"
"Joyce Kennedy","1"
"Junior Boys","1"
"Karla DeVito","1"
"Kastle","1"
"Kero Kero Bonito","1"
"Kevin Ayers","1"
"Kirko Bangz","1"
"Kwes.","1"
"Lily Allen","1"
"Little Daylight","1"
"Little Freaky Things","1"
"Lock, Stock and Two Smoking Barrels O.S.T.","1"
