"name","playcount"
"Tierra Whack","329"
"(Sandy) Alex G","241"
"King Krule","226"
"Hannah Cohen","165"
"Taylor Swift","156"
"Four Tet","155"
"Cornelius","137"
"Yo La Tengo","116"
"Aphex Twin","111"
"Radiohead","101"
"Animal Collective","91"
"Elliott Smith","82"
"JinSang","74"
"Archy Marshall","73"
"Taking Back Sunday","71"
"Alex G","69"
"Carly Rae Jepsen","69"
"Jon Brion","65"
"The Shins","62"
"Pavement","60"
"Steve Hauschildt","60"
"Brian Eno","59"
"Sufjan Stevens","59"
"beabadoobee","58"
"Pronoun","57"
"Hiroshi Yoshimura","56"
"Myrna","55"
"Oneohtrix Point Never","51"
"Death Cab for Cutie","49"
"The Books","48"
"Hikes","46"
"Stephen Malkmus","46"
"Thursday","46"
"Lala Lala","45"
"Zuli","44"
"Blood Orange","43"
"of Montreal","43"
"Mount Kimbie","42"
"Beach House","41"
"Fennesz","41"
"OutKast","41"
"Palm","41"
"Better Oblivion Community Center","40"
"Caribou","40"
"Björk","39"
"Kanye West","39"
"Roger Eno","39"
"Joni Mitchell","38"
"Pixies","38"
"Snail Mail","38"
"Javelin","37"
"Mac DeMarco","37"
"Toro y Moi","37"
"Drake","36"
"SZA","36"
"Broadcast","35"
"Co La","35"
"Panda Bear","34"
"Phoebe Bridgers","34"
"Burial","33"
"Erykah Badu","33"
"The High Llamas","33"
"The Flaming Lips","32"
"Tom Rogerson","32"
"CHVRCHES","31"
"Grimes","31"
"Lapalux","31"
"Meitei","31"
"The Japanese House","31"
"Ana Roxanne","30"
"Bright Eyes","30"
"Desaparecidos","30"
"Frank Ocean","30"
"Kendrick Lamar","30"
"The Clash","30"
"Gang Gang Dance","29"
"Boards of Canada","28"
"girl in red","28"
"Destroyer","27"
"Dungen","27"
"FKA twigs","27"
"Grouper","27"
"M83","27"
"Ben Lukas Boysen","26"
"Tim Hecker","26"
"Disclosure","25"
"Erik Satie","25"
"LCD Soundsystem","25"
"Stereolab","25"
