"name","playcount"
"Brian Eno","100"
"Dntel","99"
"FaltyDL","80"
"Majical Cloudz","72"
"The Clash","65"
"J Dilla","64"
"Björk","55"
"Blood Orange","55"
"Lou Reed","55"
"Sean Nicholas Savage","54"
"Grimes","53"
"Generationals","49"
"Drake","47"
"George Harrison","44"
"The Ventures","41"
"Weather Report","41"
"David Bowie","39"
"Lapalux","39"
"Neon Indian","38"
"Burial","37"
"Toro y Moi","37"
"Arthur Russell","35"
"John Foxx","35"
"Beach House","34"
"Pixies","34"
"Tim Hecker","34"
"Mac DeMarco","33"
"OutKast","33"
"Aphex Twin","32"
"Frank Ocean","30"
"Javelin","30"
"The Smiths","30"
"Nite Jewel","29"
"White Noise For Baby Sleep","29"
"Kanye West","27"
"Shlohmo","27"
"Why?","27"
"Battles","26"
"Evenings","26"
"Amason","25"
"Future Islands","25"
"Poliça","24"
"Weezer","24"
"Belle and Sebastian","23"
"Jeff Buckley","23"
"Tensnake","23"
"DJ Koze","22"
"Purity Ring","22"
"XXYYXX","22"
"Ariel Pink's Haunted Graffiti","21"
"Classixx","21"
"Kindness","21"
"Oneohtrix Point Never","21"
"Dave Van Ronk","20"
"Tortoise","20"
"Destroyer","19"
"Antônio Carlos Jobim","18"
"Dean Blunt and Inga Copeland","18"
"Echo & the Bunnymen","18"
"Little Dragon","18"
"Miles Davis","18"
"Peter Bjorn and John","18"
"Queen","18"
"Radiohead","18"
"The Weeknd","18"
"Black Star","17"
"Metronomy","17"
"The Juan Maclean","17"
"AlunaGeorge","16"
"Big Spider's Back","15"
"Iasos","15"
"M.I.A.","15"
"Pavement","15"
"Rustie","15"
"Ariel Pink","14"
"Can","14"
"Cliff Martinez","14"
"Department of Eagles","14"
"Saâda Bonaire","14"
"Twin Shadow","14"
"Apparat","13"
"Devendra Banhart","13"
"Nicki Minaj","13"
"No Age","13"
"Rihanna","13"
"Sondre Lerche","13"
"The Surfaris","13"
"U2","13"
"alt-J","12"
"Ariel Kalma","12"
"Bob Dylan","12"
"Clap Your Hands Say Yeah","12"
"El Guincho","12"
"Harold Budd","12"
"JAY-Z","12"
"Joy Division","12"
"Sigur Rós","12"
"Erykah Badu","11"
"Japanther","11"
"Lemonade","11"
"Phèdre","11"
"Robyn","11"
"The Tough Alliance","11"
"Van Halen","11"
"Willis Earl Beal","11"
"Aerosmith","10"
"Arcade Fire","10"
"Autre Ne Veut","10"
"CHVRCHES","10"
"Disclosure","10"
"Donnie & Joe Emerson","10"
"Gang Gang Dance","10"
"Hot Sugar","10"
"Machinedrum","10"
"Mýa","10"
"Sufjan Stevens","10"
"Wings","10"
"Bleachers","9"
"Daft Punk","9"
"James Blake","9"
"Modest Mouse","9"
"Robin Guthrie","9"
"CocoRosie","8"
"Daniel Johnston","8"
"Giorgio Moroder","8"
"Jam City","8"
"Lil' Wayne","8"
"Lower Dens","8"
"Mott the Hoople","8"
"Public Enemy","8"
"The Field","8"
"The xx","8"
"Tyondai Braxton","8"
"Container","7"
"I LOVE MAKONNEN","7"
"Lindstrøm","7"
"OFWGKTA","7"
"Panda Bear","7"
"The New Pornographers","7"
"The Zombies","7"
